song | our bpm | bpm-tool's bpm
86._ACDC_-_Hells_Bells_cut.wav | 146 | 145.371
87._Harry_Styles_-_As_It_Was_cut.wav | 116 | 115.722
88._Neil_Young_-_Heart_of_Gold_(2009_Remaster)_cut.wav | 139 | 84.738
89._Ski_Aggu_-_Friesenjung_cut.wav | 111 | 107.435
90._Elton_John_-_Cold_Heart_(PNAU_Remix)_cut.wav | 116 | 115.920
91._Tate_McRae_-_exes_cut.wav | 145 | 136.551
92._Eminem_-_The_Real_Slim_Shady_cut.wav | 105 | 104.444
93._Alok_x_Mondello'G_x_CERES_x_Tribbs_-_LET'S_GET_FKD_UP_cut.wav | 148 | 106.587
94._Jason_Derulo_-_Down_cut.wav | 116 | 116.053
95._Teddy_Swims_-_Lose_Control_cut.wav | 147 | 146.000
96._Four_Tet_-_Daydream_Repeat_cut.wav | 129 | 128.251
97._AnnenMayKantereit_-_Pocahontas_cut.wav | 145 | 124.163
98._Tones_and_I_-_Dance_Monkey_cut.wav | 72 | 98.120
99._Swiss_&_Die_Andern_-_Drive_Bye_cut.wav | 108 | 108.066
